SampleID	Island	Abbreviation	Species	Band Number	Year 	Date Collected	Month	Location	Foraging Guild
1821-67459-COI	Maui	HAAM	Hawaii Amakihi 	1821-67459	2019	6/6/19	NA	PALIKU	Generalist
1821-67460-COI	Maui	HAAM	Hawaii Amakihi 	1821-67460	2019	6/6/19	NA	PALIKU	Generalist
1821-67465-COI	Maui	HAAM	Hawaii Amakihi 	1821-67465	2019	6/6/19	NA	PALIKU	Generalist
1821-67473-COI	Maui	HAAM	Hawaii Amakihi 	1821-67473	2019	6/6/19	NA	PALIKU	Generalist
1821-67475-COI	Maui	HAAM	Hawaii Amakihi 	1821-67475	2019	6/6/19	NA	Paliku	Generalist
1821-67479-COI	Maui	HAAM	Hawaii Amakihi 	1821-67479	2019	6/6/19	NA	PALIKU	Generalist
1821-67488-COI	Maui	HAAM	Hawaii Amakihi 	1821-67488	2019	6/12/19	NA	KKOA	Generalist
2591-08204-COI	Big Island	HAAM	Hawaii Amakihi 	2591-08204	2019	7/23/19	NA	BIOX	Generalist
2711-81023-COI	Big Island	HAAM	Hawaii Amakihi 	2711-81023	2020	2/3/20	NA	NANI	Generalist
2711-81025-COI	Big Island	HAAM	Hawaii Amakihi 	2711-81025	2020	2/4/20	NA	MANU	Generalist
2591-08414-COI	Big Island	HAAM	Hawaii Amakihi 	2591-08414	2020	2/5/20	NA	NANZ	Generalist
2721-53274-COI	Big Island	HAAM	Hawaii Amakihi 	2721-53274	2020	2/7/20	NA	MARC	Generalist
1881-73517-COI	Big Island	HAAM	Hawaii Amakihi 	1881-73517	2020	2/26/20	NA	PFBS	Generalist
1881-73578-COI	Big Island	HAAM	Hawaii Amakihi 	1881-73578	2020	2/27/20	NA	PFBS	Generalist
1881-73624-COI	Big Island	HAAM	Hawaii Amakihi 	1881-73624	2020	3/12/20	NA	AIRA	Generalist
1881-73614-COI	Big Island	HAAM	Hawaii Amakihi 	1881-73614	2020	3/13/20	NA	AIRA	Generalist
1881-73644-COI	Big Island	HAAM	Hawaii Amakihi 	1881-73644	2020	3/19/20	NA	MAUL	Generalist
1881-73647-COI	Big Island	HAAM	Hawaii Amakihi 	1881-73647	2020	3/19/20	NA	MANU	Generalist
1881-73656-COI	Big Island	HAAM	Hawaii Amakihi 	1881-73656	2020	4/15/20	NA	UPKE	Generalist
1921-78664-COI	Big Island	HAAM	Hawaii Amakihi 	1921-78664	2020	4/15/20	NA	UPKE	Generalist
1490-89708-COI	Big Island	HAAM	Hawaii Amakihi 	1490-89708	2020	5/7/20	NA	KIOL	Generalist
2781-68624-COI	Big Island	HAAM	Hawaii Amakihi 	2781-68624	2020	5/7/20	NA	BOWL	Generalist
1490-89710-COI	Big Island	HAAM	Hawaii Amakihi 	1490-89710	2020	5/8/20	NA	KIOL	Generalist
1490-89715-COI	Big Island	HAAM	Hawaii Amakihi 	1490-89715	2020	5/14/20	NA	KAHU	Generalist
2781-68665-COI	Big Island	HAAM	Hawaii Amakihi 	2781-68665	2020	5/29/20	NA	GUZZ	Generalist
1881-73708-COI	Big Island	HAAM	Hawaii Amakihi 	1881-73708	2020	6/5/20	NA	KAUF	Generalist
2631-36278-COI	Maui	HAAM	Hawaii Amakihi 	2631-36278	2020	6/6/20	NA	FSB	Generalist
1881-73786-COI	Big Island	HAAM	Hawaii Amakihi 	1881-73786	2020	6/7/20	NA	PWWA	Generalist
1821-67578-COI	Maui	HAAM	Hawaii Amakihi 	1821-67578	2020	6/8/20	NA	FSB	Generalist
2591-56422-COI	Maui	HAAM	Hawaii Amakihi 	2591-56422	2020	6/8/20	NA	FSB	Generalist
1881-73714-COI	Big Island	HAAM	Hawaii Amakihi 	1881-73714	2020	6/9/20	NA	KONA	Generalist
